Number,CountryOfManufacturing,Brand
TE5 T00,1,Volkswagen
TE5 T01,8,Mercedes
TE5 T02,11,Renault
TE5 T03,8,Mercedes
TE5 T04,3,Volkswagen
TE5 T05,4,Fiat
TE5 T06,1,Škoda
TE5 T07,2,Citroen
TE5 T08,2,Renault
TE5 T09,8,BMW
TE5 T10,5,Toyota
TE5 T11,5,Nissan
TE5 T12,2,Citroen
TE5 T13,3,BMW
TE5 T14,4,Fiat
TE5 T15,1,Skoda
TE5 T16,11,Fiat
TE5 T17,2,Renault
TE5 T18,1,Škoda
TE5 T19,7,Volkswagen
TE5 T20,10,Peugeot
TE5 T21,5,Toyota
TE5 T22,5,Nissan
TE5 T23,12,Ford
TE5 T24,11,Ford
TE5 T25,9,Kia
TE5 T26,3,Volkswagen
TE5 T27,7,Kia
TE5 T28,1,Volkswagen
TE5 T29,5,Honda
TE5 T30,2,Citroen
TE5 T31,7,Kia
TE5 T32,12,Ford
TE5 T33,3,Volkswagen
TE5 T34,7,Volkswagen
TE5 T35,5,Toyota
TE5 T36,10,SEAT
TE5 T37,2,Peugeot
TE5 T38,2,Renault
TE5 T39,7,Peugeot
TE5 T40,9,Kia
TE5 T41,11,Ford
TE5 T42,4,Fiat
TE5 T43,1,Volkswagen
TE5 T44,4,Alfa Romeo
TE5 T45,4,Alfa Romeo
TE5 T46,7,Peugeot
TE5 T47,8,VW
TE5 T48,1,Volkswagen
TE5 T49,11,Renault
TE5 T50,1,Volkswagen
TE5 T51,5,Nissan
TE5 T52,11,Renault
TE5 T53,5,Honda
TE5 T54,3,Mercedes-Benz
TE5 T55,12,Ford
TE5 T56,11,Ford
TE5 T57,1,Škoda
TE5 T58,2,Peugeot
TE5 T59,1,Volkswagen
TE5 T60,7,Kia
TE5 T61,5,Honda
TE5 T62,8,Mercedes
TE5 T63,3,Volkswagen
TE5 T64,10,Volkswagen
TE5 T65,4,Alfa Romeo
TE5 T66,9,Hyundai
TE5 T67,2,Citroen
TE5 T68,2,Renault
TE5 T69,8,BMW
TE5 T70,8,VW
TE5 T71,1,Hyundai
TE5 T72,9,Hyundai
TE5 T73,7,Peugeot
TE5 T74,3,Mercedes-Benz
TE5 T75,4,Alfa Romeo
TE5 T76,5,Toyota
TE5 T77,2,Citroën
TE5 T78,7,Peugeot
TE5 T79,1,Skoda
TE5 T80,12,Ford
TE5 T81,8,BMW
TE5 T82,1,Škoda
TE5 T83,9,Kia
TE5 T84,2,Citroen
TE5 T85,3,BMW
TE5 T86,4,Alfa Romeo
TE5 T87,1,Hyundai
TE5 T88,12,Ford
TE5 T89,9,Kia
TE5 T90,2,Peugeot
TE5 T91,1,Volkswagen
TE5 T92,10,SEAT
TE5 T93,4,Fiat
TE5 T94,8,Mercedes
TE5 T95,2,Citroen
TE5 T96,2,Renault
TE5 T97,1,Skoda
TE5 T98,12,Ford
TE5 T99,8,VW
